"","X.1","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Abstract","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","DOI","X","DOI_2part"
"303",303,"J","Howe, GT; Jayawickrama, K; Kolpak, SE; Kling, J; Trappe, M; Hipkins, V; Ye, T; Guida, S; Cronn, R; Cushman, SA; McEvoy, S",NA,NA,NA,"Howe, Glenn T.; Jayawickrama, Keith; Kolpak, Scott E.; Kling, Jennifer; Trappe, Matt; Hipkins, Valerie; Ye, Terrance; Guida, Stephanie; Cronn, Richard; Cushman, Samuel A.; McEvoy, Susan",NA,"","An Axiom SNP genotyping array for Douglas-fir","Background In forest trees, genetic markers have been used to understand the genetic architecture of natural populations, identify quantitative trait loci, infer gene function, and enhance tree breeding. Recently, new, efficient technologies for genotyping thousands to millions of single nucleotide polymorphisms (SNPs) have finally made large-scale use of genetic markers widely available. These methods will be exceedingly valuable for improving tree breeding and understanding the ecological genetics of Douglas-fir, one of the most economically and ecologically important trees in the world. Results We designed SNP assays for 55,766 potential SNPs that were discovered from previous transcriptome sequencing projects. We tested the array on similar to 2300 related and unrelated coastal Douglas-fir trees (Pseudotsuga menziesii var. menziesii) from Oregon and Washington, and 13 trees of interior Douglas-fir (P. menziesii var. glauca). As many as similar to 28 K SNPs were reliably genotyped and polymorphic, depending on the selected SNP call rate. To increase the number of SNPs and improve genome coverage, we developed protocols to 'rescue' SNPs that did not pass the default Affymetrix quality control criteria (e.g., 97% SNP call rate). Lowering the SNP call rate threshold from 97 to 60% increased the number of successful SNPs from 20,669 to 28,094. We used a subset of 395 unrelated trees to calculate SNP population genetic statistics for coastal Douglas-fir. Over a range of call rate thresholds (97 to 60%), the median call rate for SNPs in Hardy-Weinberg equilibrium ranged from 99.2 to 99.7%, and the median minor allele frequency ranged from 0.198 to 0.233. The successful SNPs also worked well on interior Douglas-fir. Conclusions Based on the original transcriptome assemblies and comparisons to version 1.0 of the Douglas-fir reference genome, we conclude that these SNPs can be used to genotype about 10 K to 15 K loci. The Axiom genotyping array will serve as an excellent foundation for studying the population genomics of Douglas-fir and for implementing genomic selection. We are currently using the array to construct a linkage map and test genomic selection in a three-generation breeding program for coastal Douglas-fir.",NA,NA,"JAN 3",2020,21,"1",NA,"10.1186/s12864-019-6383-9",NA,"s12864-019-6383-9"
"327",327,"J","Sudan, J; Singh, R; Sharma, S; Salgotra, RK; Sharma, V; Singh, G; Sharma, I; Sharma, S; Gupta, SK; Zargar, SM",NA,NA,NA,"Sudan, Jebi; Singh, Ravinder; Sharma, Susheel; Salgotra, Romesh K.; Sharma, Varun; Singh, Gurvinder; Sharma, Indu; Sharma, Swarkar; Gupta, Surinder K.; Zargar, Sajad Majeed",NA,"","ddRAD sequencing-based identification of inter-genepool SNPs and association analysis in Brassica juncea","Background: Narrow genetic base, complex allo-tetraploid genome and presence of repetitive elements have led the discovery of single nucleotide polymorphisms (SNPs) in Brassica juncea (AABB; 2n = 4x = 36) at a slower pace. Double digest RAD (ddRAD) - a genome complexity reduction technique followed by NGS was used to generate a total of 23 million paired-end reads from three genotypes each of Indian (Pusa Tarak, RSPR-01 and Urvashi) and Exotic (Donskaja IV, Zem 1 and EC287711) genepools. Results: Sequence data analysis led to the identification of 10,399 SNPs in six genotypes at a read depth of 10x coverage among the genotypes of two genepools. A total of 44 hyper-variable regions (nucleotide variation hotspots) were also found in the genome, of which 93% were found to be a part of coding genes/regions. The functionality of the identified SNPs was estimated by genotyping a subset of SNPs on MassARRAY (R) platform among a diverse set of B. juncea genotypes. SNP genotyping-based genetic diversity and population studies placed the genotypes into two distinct clusters based mostly on the place of origin. The genotypes were also characterized for six morphological traits, analysis of which revealed a significant difference in the mean values between Indian and Exotic genepools for six traits. The association analysis for six traits identified a total of 45 significant marker-trait associations on 11 chromosomes of A- and B-group of progenitor genomes. Conclusions: Despite narrow diversity, the ddRAD sequencing was able to identify large number of nucleotide polymorphisms between the two genepools. Association analysis led to the identification of common SNPs/genomic regions associated between flowering and maturity traits, thereby underscoring the possible role of common chromosomal regions-harboring genes controlling flowering and maturity in Brassica juncea.",NA,NA,"DEC 30",2019,19,"1",NA,"10.1186/s12870-019-2188-x",NA,"s12870-019-2188-x"
"344",344,"J","Nyine, M; Uwimana, B; Akech, V; Brown, A; Ortiz, R; Dolezel, J; Lorenzen, J; Swennen, R",NA,NA,NA,"Nyine, Moses; Uwimana, Brigitte; Akech, Violet; Brown, Allan; Ortiz, Rodomiro; Dolezel, Jaroslav; Lorenzen, Jim; Swennen, Rony",NA,"","Association genetics of bunch weight and its component traits in East African highland banana (Musa spp. AAA group)","y Bunch weight increase is one of the major objectives of banana improvement programs, but little is known about the loci controlling bunch weight and its component traits. Here we report for the first time some genomic loci associated with bunch weight and its component traits in banana as revealed through a genome-wide association study. A banana-breeding population of 307 genotypes varying in ploidy was phenotyped in three locations under different environmental conditions, and data were collected on bunch weight, number of hands and fruits; fruit length and circumference; and diameter of both fruit and pulp for three crop cycles. The population was genotyped with genotyping by sequencing and 27,178 single nucleotide polymorphisms (SNPs) were generated. The association between SNPs and the best linear unbiased predictors of traits was performed with TASSEL v5 using a mixed linear model accounting for population structure and kinship. Using Bonferroni correction, false discovery rate, and long-range linkage disequilibrium (LD), 25 genomic loci were identified with significant SNPs and most were localized on chromosome 3. Most SNPs were located in genes encoding uncharacterized and hypothetical proteins, but some mapped to transcription factors and genes involved in cell cycle regulation. Interchromosomal LD of SNPs was present in the population, but none of the SNPs were significantly associated with the traits. The clustering of significant SNPs on chromosome 3 supported our hypothesis that fruit filling in this population was under control of a few quantitative trait loci with major effects.",NA,NA,"DEC",2019,132,"12",NA,"10.1007/s00122-019-03425-x",NA,"s00122-019-03425-x"
"346",346,"J","Blahed, IM; Ericsson, G; Spong, G",NA,NA,NA,"Blahed, Ida-Maria; Ericsson, Goran; Spong, Goran",NA,"","Noninvasive population assessment of moose (Alces alces) by SNP genotyping of fecal pellets","Noninvasive genetic studies of wild animals enable the recovery of information infeasible to obtain using other means. However, the low quantity and quality of noninvasively collected DNA often challenge the retrieval of reliable genotypes, which may cause biases in downstream analyses. In this study, we optimized SNP (single nucleotide polymorphism) genotyping of fecal samples from moose (Alces alces) with the main purpose of exploring the potential of using noninvasively retrieved genotypes for individual- and sex identification. Fecal pellets were collected during the late winter of 2016 on the Swedish island of oland in the Baltic Sea and DNA was extracted and genotyped using 86 autosomal, six sex-specific and five species diagnostic SNPs. The SNP error rate of the quality filtered dataset was 0.06 and the probability of identity for siblings below 0.001. Following a thorough quality filtering process, 182 reliable genotypes were obtained, corresponding to 100 unique individuals (37 males, 63 females), with an estimated male proportion of 37% (+/- 9%). The population size, estimated using two different capture-mark-recapture approaches, was found to be in the range of 115-156 individuals (95% CI). Furthermore, moose on oland showed significantly lower heterozygosity levels (z(Hexp) = -5.51, N = 69, p(Hexp) = 3.56 center dot 10(-8), z(Hobs) = -3.58, N = 69, p(Hobs) = 3.38 center dot 10(-4)) and appeared genetically differentiated from moose on the Swedish mainland. Thus, we show that quality controlled noninvasively derived SNP genotypes can be highly informative for individual and population monitoring in a large ungulate.",NA,NA,"DEC",2019,65,"6",NA,"10.1007/s10344-019-1337-8",NA,"s10344-019-1337-8"
"358",358,"J","Marie, AD; Stockwell, BL; Rico, C",NA,NA,NA,"Marie, Amandine D.; Stockwell, Brian L.; Rico, Ciro",NA,"","DNA Analysis of Juvenile Scalloped Hammerhead Sharks Sphyrna lewini (Griffith, 1834) Reveals Multiple Breeding Populations and Signs of Adaptive Divergence in the South Pacific","Shark species have undergone drastic population declines in recent decades due to overfishing and habitat destruction; thus, establishing connectivity among the populations of various shark species is important to determine the appropriate units and spatial scale for conservation and management, particularly as this group is longlived with late age of maturation. Consequently, we used DNA variation at 1,317 putatively neutral and 25 potentially adaptive single nucleotide polymorphisms (SNPs) to analyze population genetic structure among 174 unrelated individuals of scalloped hammerhead sharks (Sphyrna lewini) from the Rewa Delta and the Ba Estuary, where documented aggregations of neonates and young-of-the-year occur in the island of Viti Levu, Republic of Fiji. Results of the pairwise F-ST analysis for the neutral loci revealed a small but significant genetic differentiation (F-ST: 0.004; P-value = 0.0009). Furthermore, the 25 potentially adaptive loci (i.e., under putative selection) revealed a magnitude of differentiation four times bigger than the estimate obtained using neutral genetic diversity (F-ST: 0.017; P-value = 0.0009). Interestingly, population assignment tests, using the neutral SNP data set and two different software packages, Admixture and assignPOP, provided evidence for the existence of up to four genetically differentiated populations among our samples. Assignment probabilities ranged from 0.98 +/- 0.01 to 0.81 +/- 0.03. Admixture and assignPOP assigned the same individuals to the same putative populations for all sampled neonates. Thus, our results provide unequivocal evidence that adult females from multiple genetically differentiated breeding populations contribute to these juvenile aggregation sites.",NA,NA,"NOV 21",2019,6,"",NA,"10.3389/fmars.2019.00718",NA,"fmars.2019.00718"
"359",359,"J","Guerra, FP; Suren, H; Holliday, J; Richards, JH; Fiehn, O; Famula, R; Stanton, BJ; Shuren, R; Sykes, R; Davis, MF; Neale, DB",NA,NA,NA,"Guerra, Fernando P.; Suren, Haktan; Holliday, Jason; Richards, James H.; Fiehn, Oliver; Famula, Randi; Stanton, Brian J.; Shuren, Richard; Sykes, Robert; Davis, Mark F.; Neale, David B.",NA,"","Exome resequencing and GWAS for growth, ecophysiology, and chemical and metabolomic composition of wood of Populus trichocarpa","Background Populus trichocarpa is an important forest tree species for the generation of lignocellulosic ethanol. Understanding the genomic basis of biomass production and chemical composition of wood is fundamental in supporting genetic improvement programs. Considerable variation has been observed in this species for complex traits related to growth, phenology, ecophysiology and wood chemistry. Those traits are influenced by both polygenic control and environmental effects, and their genome architecture and regulation are only partially understood. Genome wide association studies (GWAS) represent an approach to advance that aim using thousands of single nucleotide polymorphisms (SNPs). Genotyping using exome capture methodologies represent an efficient approach to identify specific functional regions of genomes underlying phenotypic variation. Results We identified 813 K SNPs, which were utilized for genotyping 461 P. trichocarpa clones, representing 101 provenances collected from Oregon and Washington, and established in California. A GWAS performed on 20 traits, considering single SNP-marker tests identified a variable number of significant SNPs (p-value < 6.1479E-8) in association with diameter, height, leaf carbon and nitrogen contents, and delta N-15. The number of significant SNPs ranged from 2 to 220 per trait. Additionally, multiple-marker analyses by sliding-windows tests detected between 6 and 192 significant windows for the analyzed traits. The significant SNPs resided within genes that encode proteins belonging to different functional classes as such protein synthesis, energy/metabolism and DNA/RNA metabolism, among others. Conclusions SNP-markers within genes associated with traits of importance for biomass production were detected. They contribute to characterize the genomic architecture of P. trichocarpa biomass required to support the development and application of marker breeding technologies.",NA,NA,"NOV 20",2019,20,"1",NA,"10.1186/s12864-019-6160-9",NA,"s12864-019-6160-9"
"360",360,"J","Wang, HH; Zhang, SF; Wang, N; Zhang, J; Chen, MK; He, XH; Cui, YH; Pang, SC; Yan, B",NA,NA,NA,"Wang, Haihua; Zhang, Shufang; Wang, Na; Zhang, Jie; Chen, Mingkai; He, Xiaohui; Cui, Yinghua; Pang, Shuchao; Yan, Bo",NA,"","Genetic variants of VEGFR-1 gene promoter in acute myocardial infarction","Background: Coronary artery disease (CAD) including acute myocardial infarction (AMI) is a common complex disease caused by atherosclerosis. Vascular epithelial growth factor receptor-1 (VEGFR-1) stimulates angiogenesis and vascular permeability, and functions as a decoy to sequester VEGF and prevent initiation of intracellular signaling. VEGFR-1 knockout mice exhibit significantly higher mortality due to heart failure, cardiac hypertrophy, and cardiac dysfunction. An evident increase in macrophage infiltration and cardiac fibrosis are also observed after transverse aortic constriction. Therefore, VEGFR-1 gene variants may be involved in CAD. In this study, VEGFR-1 gene promoter was genetically and functionally analyzed in large cohorts of AMI patients and ethnic-matched controls. Results: A total of 16 DNA sequence variants (DSVs) including six single-nucleotide polymorphisms (SNPs) were found in the VEGFR-1 gene promoter and 5'-untranslated region. Five novel DSVs and one SNP were only identified in AMI patients group. These DSVs and SNP significantly altered the transcriptional activity of the VEGFR-1 gene promoter in both HEK-293 and H9c2 cells (P < 0.05). Further electrophoretic mobility shift assay indicated that the DSVs and SNPs evidently affected the binding of transcription factors. Conclusions: The genetic variants in VEGFR-1 gene identified in AMI patients may alter the transcriptional activity of the VEGFR-1 gene promoter and change VEGFR-1 level, contributing to AMI development.",NA,NA,"NOV 19",2019,13,"1",NA,"10.1186/s40246-019-0243-1",NA,"s40246-019-0243-1"
"362",362,"J","Li, YC; Chao, TL; Fan, YH; Lou, DL; Wang, GZ",NA,NA,NA,"Li Yancan; Chao Tianle; Fan Yunhan; Lou Delong; Wang Guizhi",NA,"","Population genomics and morphological features underlying the adaptive evolution of the eastern honey bee (Apis cerana)","BackgroundThe adaptation of organisms to changing environments is self-evident, with the adaptive evolution of organisms to environmental changes being a fundamental problem in evolutionary biology. Bees can pollinate in various environments and climates and play important roles in maintaining the ecological balance of the earth.ResultsWe performed an analysis of 462 Apis cerana (A. cerana) specimens from 31 populations in 11 regions and obtained 39 representative morphological features. We selected 8 A. cerana samples from each population and performed 2b-RAD simplified genome sequencing. A total of 11,506 high-quality single nucleotide polymorphism (SNP) loci were obtained. For these SNPs, the minor allele frequency (MAF) was >1%, the average number of unique labels for each sample was 49,055, and the average depth was 72.61x. The ratios of the unique labels of all samples were 64.27-86.33%.ConclusionsUsing 39 morphological characteristics as the data set, we proposed a method for the rapid classification of A. cerana. Using genomics to assess population structure and genetic diversity, we found that A. cerana has a large genetic difference at the ecotype level. A comparison of A. cerana in North China revealed that some physical obstacles, especially the overurbanization of the plains, have isolated the populations of this species. We identified several migration events in North China and Central China. By comparing the differences in the environmental changes in different regions, we found that A. cerana has strong potential for climate change and provides a theoretical basis for investigating and protecting A. cerana.",NA,NA,"NOV 15",2019,20,"1",NA,"10.1186/s12864-019-6246-4",NA,"s12864-019-6246-4"
"363",363,"J","Carvalho, CS; Lanes, ECM; Silva, AR; Caldeira, CF; Carvalho, N; Gastauer, M; Imperatriz-Fonseca, VL; Nascimento, W; Oliveira, G; Siqueira, JO; Viana, PL; Jaffe, R",NA,NA,NA,"Carvalho, Carolina S.; Lanes, Eder C. M.; Silva, Amanda R.; Caldeira, Cecilio F.; Carvalho-Filho, Nelson; Gastauer, Markus; Imperatriz-Fonseca, Vera L.; Nascimento Junior, Wilson; Oliveira, Guilherme; Siqueira, Jose O.; Viana, Pedro L.; Jaffe, Rodolfo",NA,"","Habitat Loss Does Not Always Entail Negative Genetic Consequences","Although habitat loss has large, consistently negative effects on biodiversity, its genetic consequences are not yet fully understood. This is because measuring the genetic consequences of habitat loss requires accounting for major methodological limitations like the confounding effect of habitat fragmentation, historical processes underpinning genetic differentiation, time-lags between the onset of disturbances and genetic outcomes, and the need for large numbers of samples, genetic markers, and replicated landscapes to ensure sufficient statistical power. In this paper we overcame all these challenges to assess the genetic consequences of extreme habitat loss driven by mining in two herbs endemic to Amazonian savannas. Relying on genotyping-by-sequencing of hundreds of individuals collected across two mining landscapes, we identified thousands of neutral and independent single-nucleotide polymorphisms (SNPs) in each species and used these to evaluate population structure, genetic diversity, and gene flow. Since open-pit mining in our study region rarely involves habitat fragmentation, we were able to assess the independent effect of habitat loss. We also accounted for the underlying population structure when assessing landscape effects on genetic diversity and gene flow, examined the sensitivity of our analyses to the resolution of spatial data, and used annual species and cross-year analyses to minimize and quantify possible time-lag effects. We found that both species are remarkably resilient, as genetic diversity and gene flow patterns were unaffected by habitat loss. Whereas historical habitat amount was found to influence inbreeding; heterozygosity and inbreeding were not affected by habitat loss in either species, and gene flow was mainly influenced by geographic distance, pre-mining land cover, and local climate. Our study demonstrates that it is not possible to generalize about the genetic consequences of habitat loss, and implies that future conservation efforts need to consider species-specific genetic information.",NA,NA,"NOV 13",2019,10,"",NA,"10.3389/fgene.2019.01101",NA,"fgene.2019.01101"
"368",368,"J","Huang, HT; Wei, GJ; Wang, CF; Lu, YL; Liu, CH; Wang, R; Shi, X; Yang, J; Wei, YS",NA,NA,NA,"Huang, Huatuo; Wei, Guijiang; Wang, Chunfang; Lu, Yulan; Liu, Chunhong; Wang, Rong; Shi, Xiang; Yang, Jun; Wei, Yesheng",NA,"","A functional polymorphism in the promoter of miR-17-92 cluster is associated with decreased risk of ischemic stroke","Background The microRNA-17-92 (miR-17-92) cluster is one of the most extensively studied miRNA clusters. Abnormal expression of the cluster has been found to play important role in different kinds of human diseases, including ischemic stroke (IS). The aim of our study was to investigate the association between three polymorphisms (rs1491034, rs9301654 and rs982873) in the promoter of the miR-17-92 cluster and risk of IS. Methods Three hundred and ninety-eight patients with IS and 397 control subjects were included. The genotypes of the three polymorphisms were determined by Snapshot SNP genotyping assay. Relative expression of the cluster in peripheral blood mononuclear cells (PBMCs) of cases and controls were examined by quantitative real-time PCR. Results Significant association between rs9301654 polymorphism and risk of IS were observed basing on genotype, model and allele analyses (GA vs. AA: adjusted OR = 0.63, 95% CI: 0.41 similar to 0.97, P = 0.037; GG vs. AA: adjusted OR = 0.23, 95% CI: 0.07 similar to 0.78, P = 0.018; GA + GG vs. AA: adjusted OR = 0.57, 95% CI: 0.38 similar to 0.87, P = 0.009; GA + AA vs. GG: adjusted OR = 0.27, 95% CI: 0.08 similar to 0.89, P = 0.032; G vs. A: adjusted OR = 0.58, 95% CI: 0.40 similar to 0.83). Haplotype analysis showed that TGC and TGT haplotypes were associated with decreased risk of IS (OR = 0.59, 95% CI: 0.40 similar to 0.87, P = 0.007 for TGC haplotype; OR = 0.21, 95% CI: 0.06 similar to 0.75, P = 0.009 for TGT haplotype). Importantly, we found the expression of miR-17-5p was significant higher while miR-19a-3p was significant lower in patient with IS compared with the control group (P < 0.01), and patients with rs9301654GG or GA genotype displayed lower level of miR-19a-3p compared with the AA genotype (P < 0.01). Conclusions Our findings indicated that rs9301654 polymorphism in the promoter of miR-17-92 cluster may be associated with susceptibility of IS in the Chinese population. However, we found that rs9301654 polymorphism and its respective gene expression did not demonstrate consistent association with IS in the Chinese population. Further studies such as gene-gene interaction are warranted to reveal the role of miR-19a and its regulatory genes in the etiology of IS.",NA,NA,"NOV 8",2019,12,"1",NA,"10.1186/s12920-019-0589-1",NA,"s12920-019-0589-1"
"369",369,"J","Carlstrom, EL; Halvardson, J; Etemadikhah, M; Wetterberg, L; Gustavson, KH; Feuk, L",NA,NA,NA,"Carlstrom, Eva Lindholm; Halvardson, Jonatan; Etemadikhah, Mitra; Wetterberg, Lennart; Gustavson, Karl-Henrik; Feuk, Lars",NA,"","Linkage and exome analysis implicate multiple genes in non-syndromic intellectual disability in a large Swedish family","Background Non-syndromic intellectual disability is genetically heterogeneous with dominant, recessive and complex forms of inheritance. We have performed detailed genetic studies in a large multi-generational Swedish family, including several members diagnosed with non-syndromic intellectual disability. Linkage analysis was performed on 22 family members, nine affected with mild to moderate intellectual disability and 13 unaffected family members. Methods Family members were analyzed with Affymetrix Genome-Wide Human SNP Array 6.0 and the genetic data was used to detect copy number variation and to perform genome wide linkage analysis with the SNP High Throughput Linkage analysis system and the Merlin software. For the exome sequencing, the samples were prepared using the Sure Select Human All Exon Kit (Agilent Technologies, Santa Clara, CA, USA) and sequenced using the Ion Proton (TM) System. Validation of identified variants was performed with Sanger sequencing. Results The linkage analysis results indicate that intellectual disability in this family is genetically heterogeneous, with suggestive linkage found on chromosomes 1q31-q41, 4q32-q35, 6p25 and 14q24-q31 (LOD scores of 2.4, simulated p-value of 0.000003 and a simulated genome-wide p-value of 0.06). Exome sequencing was then performed in 14 family members and 7 unrelated individuals from the same region. The analysis of coding variation revealed a pathogenic and candidate variants in different branches of the family. In three patients we find a known homozygous pathogenic mutation in the Homo sapiens solute carrier family 17 member 5 (SLC17A5), causing Salla disease. We also identify a deletion overlapping KDM3B and a duplication overlapping MAP3K4 and AGPAT4, both overlapping variants previously reported in developmental disorders. Conclusions DNA samples from the large family analyzed in this study were initially collected based on a hypothesis that affected members shared a major genetic risk factor. Our results show that a complex phenotype such as mild intellectual disability in large families from genetically isolated populations may show considerable genetic heterogeneity.",NA,NA,"NOV 6",2019,12,"1",NA,"10.1186/s12920-019-0606-4",NA,"s12920-019-0606-4"
"412",412,"J","Mulder, HA; Lee, SH; Clark, S; Hayes, B; van der Werf, JHJ",NA,NA,NA,"Mulder, Herman A.; Lee, Sang Hong; Clark, Sam; Hayes, Ben J.; van der Werf, Julius H. J.",NA,"","The Impact of Genomic and Traditional Selection on the Contribution of Mutational Variance to Long-Term Selection Response and Genetic Variance","De novo mutations (DNM) create new genetic variance and are an important driver for long-term selection response. We hypothesized that genomic selection exploits mutational variance less than traditional selection methods such as mass selection or selection on pedigree-based breeding values, because DNM in selection candidates are not captured when the selection candidates' own phenotype is not used in genomic selection, DNM are not on SNP chips and DNM are not in linkage disequilibrium with the SNP on the chip. We tested this hypothesis with Monte Carlo simulation. From whole-genome sequence data, a subset of similar to 300,000 variants was used that served as putative markers, quantitative trait loci or DNM. We simulated 20 generations with truncation selection based on breeding values from genomic best linear unbiased prediction without (GBLUP_no_OP) or with own phenotype (GBLUP_OP), pedigree-based BLUP without (BLUP_no_OP) or with own phenotype (BLUP_OP), or directly on phenotype. GBLUP_OP was the best strategy in exploiting mutational variance, while GBLUP_no_OP and BLUP_no_OP were the worst in exploiting mutational variance. The crucial element is that GBLUP_no_OP and BLUP_no_OP puts no selection pressure on DNM in selection candidates. Genetic variance decreased faster with GBLUP_no_OP and GBLUP_OP than with BLUP_no_OP, BLUP_OP or mass selection. The distribution of mutational effects, mutational variance, number of DNM per individual and nonadditivity had a large impact on mutational selection response and mutational genetic variance, but not on ranking of selection strategies. We advocate that more sustainable genomic selection strategies are required to optimize long-term selection response and to maintain genetic diversity.",NA,NA,"OCT",2019,213,"2",NA,"10.1534/genetics.119.302336",NA,"genetics.119.302336"
"426",426,"J","Lopez-Cortegano, E; Pouso, R; Labrador, A; Perez-Figueroa, A; Fernandez, J; Caballero, A",NA,NA,NA,"Lopez-Cortegano, Eugenio; Pouso, Ramon; Labrador, Adriana; Perez-Figueroa, Andres; Fernandez, Jesus; Caballero, Armando",NA,"","Optimal Management of Genetic Diversity in Subdivided Populations","One of the main objectives of conservation programs is the maintenance of genetic diversity because this provides the adaptive potential of populations to face new environmental challenges. Genetic diversity is generally assessed by means of neutral molecular markers, and it is usually quantified by the expected heterozygosity under Hardy-Weinberg equilibrium and the number of alieles per locus or allelic diversity. These two measures of genetic diversity are complementary because whereas the former is directly related to genetic variance for quantitative traits and, therefore, to the short-term response to selection and adaptation, the latter is more sensitive to population bottlenecks and relates more strongly to the long-term capacity of adaptation of populations. In the context of structured populations undergoing conservation programs, it is important to decide the optimum management strategy to preserve as much genetic diversity as possible while avoiding inbreeding. Here we examine, through computer simulations, the consequences of choosing a conservation strategy based on maximizing either heterozygosity or allelic diversity of single-nucleotide polymorphism haplotypes in a subdivided population. Our results suggest that maximization of allelic diversity can be more efficient in maintaining the genetic diversity of subdivided populations than maximization of expected heterozygosity because the former maintains a larger number of alleles while making a better control of inbreeding. Thus, maximization of allelic diversity should be a recommended strategy in conservation programs for structured populations.",NA,NA,"SEP 13",2019,10,"",NA,"10.3389/fgene.2019.00843",NA,"fgene.2019.00843"
"446",446,"J","Gervais, L; Perrier, C; Bernard, M; Merlet, J; Pemberton, JM; Pujol, B; Quemere, E",NA,NA,NA,"Gervais, Laura; Perrier, Charles; Bernard, Maria; Merlet, Joel; Pemberton, Josephine M.; Pujol, Benoit; Quemere, Erwan",NA,"","RAD-sequencing for estimating genomic relatedness matrix-based heritability in the wild: A case study in roe deer","Estimating the evolutionary potential of quantitative traits and reliably predicting responses to selection in wild populations are important challenges in evolutionary biology. The genomic revolution has opened up opportunities for measuring relatedness among individuals with precision, enabling pedigree-free estimation of trait heritabilities in wild populations. However, until now, most quantitative genetic studies based on a genomic relatedness matrix (GRM) have focused on long-term monitored populations for which traditional pedigrees were also available, and have often had access to knowledge of genome sequence and variability. Here, we investigated the potential of RAD-sequencing for estimating heritability in a free-ranging roe deer (Capreolous capreolus) population for which no prior genomic resources were available. We propose a step-by-step analytical framework to optimize the quality and quantity of the genomic data and explore the impact of the single nucleotide polymorphism (SNP) calling and filtering processes on the GRM structure and GRM-based heritability estimates. As expected, our results show that sequence coverage strongly affects the number of recovered loci, the genotyping error rate and the amount of missing data. Ultimately, this had little effect on heritability estimates and their standard errors, provided that the GRM was built from a minimum number of loci (above 7,000). Genomic relatedness matrix-based heritability estimates thus appear robust to a moderate level of genotyping errors in the SNP data set. We also showed that quality filters, such as the removal of low-frequency variants, affect the relatedness structure of the GRM, generating lower h(2) estimates. Our work illustrates the huge potential of RAD-sequencing for estimating GRM-based heritability in virtually any natural population.",NA,NA,"SEP",2019,19,"5",NA,"10.1111/1755-0998.13031",NA,"1755-0998.13031"
"472",472,"J","Yanez, JM; Yoshida, GM; Parra, A; Correa, K; Barria, A; Bassini, LN; Christensen, KA; Lopez, ME; Carvalheiro, R; Lhorente, JP; Pulgar, R",NA,NA,NA,"Yanez, Jose M.; Yoshida, Grazyella M.; Parra, Angel; Correa, Katherina; Barria, Agustin; Bassini, Liane N.; Christensen, Kris A.; Lopez, Maria E.; Carvalheiro, Roberto; Lhorente, Jean P.; Pulgar, Rodrigo",NA,"","Comparative Genomic Analysis of Three Salmonid Species Identifies Functional Candidate Genes Involved in Resistance to the Intracellular Bacterium Piscirickettsia salmonis","Piscirickettsia salmonis is the etiologic agent of salmon rickettsial syndrome (SRS) and is responsible for considerable economic losses in salmon aquaculture. The bacterium affects coho salmon (CS; Oncorhynchus kisutch), Atlantic salmon (AS; Salmo salar), and rainbow trout (RT; Oncorhynchus mykiss) in several countries, including Norway, Canada, Scotland, Ireland, and Chile. We used Bayesian genome-wide association study analyses to investigate the genetic architecture of resistance to P. salmonis in farmed populations of these species. Resistance to SRS was defined as the number of days to death and as binary survival (BS). A total of 828 CS, 2130 RT, and 2601 AS individuals were phenotyped and then genotyped using double-digest restriction site-associated DNA sequencing and 57K and 50K Affymetrix (R) Axiom (R) single nucleotide polymorphism (SNP) panels, respectively. Both traits of SRS resistance in CS and RT appeared to be under oligogenic control. In AS, there was evidence of polygenic control of SRS resistance. To identify candidate genes associated with resistance, we applied a comparative genomics approach in which we systematically explored the complete set of genes adjacent to SNPs, which explained more than 1% of the genetic variance of resistance in each salmonid species (533 genes in total). Thus, genes were classified based on the following criteria: i) shared function of their protein domains among species, ii) shared orthology among species, iii) proximity to the SNP explaining the highest proportion of the genetic variance, and iv) presence in more than one genomic region explaining more than 1% of the genetic variance within species Our results allowed us to identify 120 candidate genes belonging to at least one of the four criteria described above. Of these, 21 of them were part of at least two of the criteria defined above and are suggested to be strong functional candidates influencing P. salmonis resistance. These genes are related to diverse biological processes, such as kinase activity, GTP hydrolysis, helicase activity, lipid metabolism, cytoskeletal dynamics, inflammation, and innate immune response, which seem essential in the host response against P. salmonis infection. These results provide fundamental knowledge on the potential functional genes underpinning resistance against P. salmonis in three salmonid species.",NA,NA,"AUG 5",2019,10,"",NA,"10.3389/fgene.2019.00665",NA,"fgene.2019.00665"
